country1,country2,length
DJI,ER,113.0
DJI,ETH,337.0
DJI,SP,58.0
ER,SUD,605.0
ER,ETH,912.0
ETH,SUD,1606.0
ETH,SP,1626.0
EAK,EAT,769.0
EAK,SUD,232.0
EAK,ETH,830.0
EAK,SP,682.0
EAK,EAU,933.0
SN,WAG,740.0
GNB,RG,386.0
GNB,SN,338.0
EAU,ZRE,765.0
EAU,RWA,169.0
EAU,SUD,435.0
LS,RSA,909.0
MW,Z,837.0
MOC,Z,419.0
MOC,RSA,491.0
MOC,ZW,1231.0
MOC,MW,1569.0
MOC,SD,105.0
GR,AL,282.0
MK,AL,151.0
MNE,AL,172.0
KOS,AL,112.0
MK,GR,228.0
TR,GR,206.0
SRB,MK,62.0
SRB,MNE,124.0
MNE,KOS,79.0
SRB,KOS,352.0
MK,KOS,159.0
F,AND,60.0
E,AND,65.0
I,F,488.0
L,F,73.0
MC,F,4.4
F,E,623.0
GBZ,E,1.2
P,E,1214.0
CZ,A,362.0
D,A,784.0
H,A,366.0
I,A,430.0
FL,A,37.0
SK,A,91.0
SLO,A,324.0
CH,A,164.0
D,CZ,646.0
SK,CZ,215.0
PL,CZ,658.0
F,D,451.0
PL,D,456.0
L,D,138.0
NL,D,577.0
DK,D,68.0
SRB,H,151.0
SK,H,515.0
SLO,H,102.0
UA,H,103.0
HR,H,329.0
RO,H,443.0
SLO,I,235.0
V,I,3.2
RSM,I,39.0
UA,SK,90.0
F,CH,573.0
D,CH,334.0
I,CH,740.0
FL,CH,41.0
LV,BY,141.0
LT,BY,502.0
PL,BY,605.0
UA,BY,891.0
R,BY,959.0
R,LV,217.0
LV,LT,453.0
PL,LT,91.0
R,LT,227.0
SK,PL,444.0
UA,PL,428.0
R,PL,206.0
UA,R,1576.0
SF,R,1313.0
TJ,R,3645.0
F,B,620.0
D,B,167.0
L,B,148.0
NL,B,450.0
SRB,BIH,302.0
KOS,BIH,225.0
HR,BIH,932.0
SRB,HR,241.0
MNE,HR,25.0
SLO,HR,546.0
GR,BG,494.0
MK,BG,148.0
SRB,BG,318.0
RO,BG,608.0
TR,BG,240.0
SRB,RO,476.0
UA,RO,531.0
LV,EW,267.0
R,EW,290.0
R,N,167.0
SF,N,729.0
S,N,1619.0
SF,S,586.0
UA,MD,939.0
RO,MD,450.0
IRL,GB,360.0
TJ,AFG,76.0
IR,AFG,936.0
PK,AFG,2430.0
TAD,AFG,1206.0
TM,AFG,744.0
UZB,AFG,137.0
VN,TJ,1281.0
TR,IR,499.0
PK,IR,909.0
TM,IR,992.0
IRQ,IR,1458.0
TJ,PK,523.0
TJ,TAD,414.0
UZB,TAD,1161.0
UZB,TM,1621.0
TR,ARM,268.0
IR,ARM,35.0
GE,ARM,164.0
AZ,ARM,787.0
R,GE,723.0
TR,GE,252.0
R,AZ,284.0
TR,AZ,9.0
IR,AZ,611.0
GE,AZ,322.0
MYA,BD,193.0
IND,BD,4053.0
TJ,MYA,2185.0
THA,MYA,1800.0
TJ,IND,3380.0
PK,IND,2912.0
MYA,IND,1463.0
NEP,IND,1690.0
TJ,BHT,470.0
IND,BHT,605.0
MAL,BRU,381.0
THA,MAL,506.0
RI,MAL,1782.0
TJ,LAO,423.0
MYA,LAO,235.0
THA,LAO,1754.0
VN,LAO,2130.0
LAO,K,541.0
THA,K,803.0
VN,K,1228.0
R,KAZ,6846.0
TJ,KAZ,1533.0
TM,KAZ,379.0
UZB,KAZ,2203.0
KGZ,KAZ,1051.0
R,NOK,19.0
TJ,NOK,1416.0
ROK,NOK,238.0
TJ,KGZ,858.0
TAD,KGZ,870.0
UZB,KGZ,1099.0
TJ,HONX,30.0
TJ,MACX,0.34
R,MNG,3441.0
TJ,MNG,4673.0
TJ,NEP,1236.0
JOR,IL,238.0
SYR,IL,76.0
RL,IL,79.0
IL,ET,255.0
LAR,ET,1150.0
SUD,ET,1273.0
TL,RI,228.0
RI,PNG,820.0
TR,IRQ,331.0
JOR,IRQ,181.0
KWT,IRQ,242.0
SA,IRQ,814.0
SYR,IRQ,605.0
SA,JOR,728.0
SYR,JOR,375.0
SA,KWT,222.0
UAE,SA,457.0
YE,SA,1458.0
TR,SYR,822.0
SYR,RL,375.0
SA,OM,676.0
UAE,OM,410.0
YE,OM,288.0
SA,Q,60.0
GCA,BZ,266.0
MEX,BZ,250.0
MEX,GCA,962.0
HCA,GCA,256.0
USA,MEX,3326.0
USA,CDN,8893.0
NIC,CR,309.0
PA,CR,330.0
RH,DOM,275.0
GCA,ES,203.0
HCA,ES,342.0
NIC,HCA,922.0
SMAR,NA,15.0
